4.4	обеспечить и защитить форму жизни, сохранить от травмы или вреда	сохранять безопасность от травм, вреда или опасности.
2.8	местный общеобразовательный колледж, предлагающий двухлетние курсы	нежилой колледж, предлагающий учебную программу, соответствующую потребностям сообщества.
5	Взгляни на него; взгляни на него коротко или осмотри его поспешно.	Взгляни на него, взгляни на него.
4.5	военное подразделение ВВС, меньшее, чем эскадрилья	Военно-воздушное подразделение меньше эскадрильи.
0.4	вмешиваться в чью-то деятельность	разрушить мир или спокойствие.
4.4	присваивать или распределять по категориям	расположить или упорядочить по классам или категориям.
4.8	быть приемлемым или подходящим, соответствовать требованиям к	доказать свою способность или пригодность; соответствовать требованиям.
4.6	Обрабатывать вещество с помощью какого-то агента; добавлять агент.	обрабатывать агентом; добавлять (агент) к.
4.8	строить, изготавливать путем объединения материалов или частей	Сделать, объединив материалы и части.
2.4	сделать холоднее, или ледяной, используя лед	Это может привести к тому, что вода станет ледяной.
3.5	предоставить сиденье или опору для	Показать место; назначить место для.
4.4	Оставьте на воздухе, чтобы охладить, освежить или дать возможность выйти.	выставлять на прохладный или холодный воздух для охлаждения или освежения.
5	совершение преступления	совершение преступления.
5	поддержка путем размещения на или против чего-то твердого	поддержка, при помощи чего-либо твердого или жесткого.
0.2	не преуспеть в достижении какой-то абстрактной вещи	не получать прибыли в бизнесе; получать убыток или не получать прибыль.
3.4	остроконечный инструмент для письма, стилус	острый инструмент для письма, рисования или гравировки.
4.8	принять участие или устроить банкет	принимать участие в пире или банкете.
4.6	участник, который является новичком в какой-либо деятельности	любой новый участник какой-либо деятельности.
3.4	закрепляется путем пропускания веревки через или вокруг чего-либо	закрепляется, проходя через отверстие или вокруг чего-либо.
4.6	выровнять или сделать параллельной; привести в правильное регулирование	поместить в линию или расположить так, чтобы быть параллельной или прямой.
2.8	акт перечисления или подсчета общей	акт подсчета; произнесение цифр в возрастающем порядке.
4.8	удаление веществ из жидкости или раствора	удалить компонент из жидкости.
5	Изучайте интенсивно, как если бы готовились к экзамену.	Учись интенсивно, как перед экзаменом.
